circuit,precision,backend,threshold,fidelity,expected_runtime_sec
qpeexact_indep_qiskit_100.qasm,double,GPU,1,1.0000000000013096,354.76892299999963
qpeexact_indep_qiskit_100.qasm,single,GPU,1,0.9999921337928853,309.4213481000006
qpeexact_indep_qiskit_30.qasm,double,CPU,1,0.9999999999999507,0.9083768000000418
qpeexact_indep_qiskit_30.qasm,single,CPU,1,0.9999946355917999,0.3568584999993618
qpeexact_indep_qiskit_30.qasm,double,GPU,1,1.0000000000000107,11.599242000000231
qpeexact_indep_qiskit_30.qasm,single,GPU,1,0.9999989271919102,9.820075399999041
shor_15_4_indep_qiskit_18.qasm,double,CPU,1,0.003906249999994733,1.5811848000012105
shor_15_4_indep_qiskit_18.qasm,double,CPU,2,0.0,1.764285800003563
shor_15_4_indep_qiskit_18.qasm,double,CPU,4,0.999999999994625,1.6460073000052944
shor_15_4_indep_qiskit_18.qasm,double,CPU,32,0.9999999999930989,2.2803454999957466
shor_15_4_indep_qiskit_18.qasm,double,CPU,64,0.999999999994337,2.3121627000073204
shor_15_4_indep_qiskit_18.qasm,double,CPU,128,0.999999999994337,2.1305719999945723
shor_15_4_indep_qiskit_18.qasm,double,CPU,256,0.999999999994337,2.202185299989651
shor_15_4_indep_qiskit_18.qasm,double,CPU,512,0.999999999994337,2.2127416000002995
shor_15_4_indep_qiskit_18.qasm,single,CPU,1,0.0,0.7884227999966242
shor_15_4_indep_qiskit_18.qasm,single,CPU,2,0.0,1.0795748000018648
shor_15_4_indep_qiskit_18.qasm,single,CPU,4,0.0,1.4824690999957966
shor_15_4_indep_qiskit_18.qasm,single,CPU,8,0.43853181517937156,3.9632485000038287
shor_15_4_indep_qiskit_18.qasm,single,CPU,16,0.9718237885675152,14.04563309999503
shor_15_4_indep_qiskit_18.qasm,single,CPU,32,0.9724749485484333,60.39943500000663
shor_15_4_indep_qiskit_18.qasm,single,CPU,64,0.9354278423670971,339.7784824000046
shor_15_4_indep_qiskit_18.qasm,single,CPU,128,0.7368632270181439,27.910083800001303
shor_15_4_indep_qiskit_18.qasm,single,CPU,256,0.9542394800864753,38.092559299999266
shor_15_4_indep_qiskit_18.qasm,single,CPU,512,0.9590159252961851,49.316189499993925
shor_15_4_indep_qiskit_18.qasm,double,GPU,1,0.003906250000001159,58.226875699998345
shor_15_4_indep_qiskit_18.qasm,double,GPU,2,0.50000000000011,72.01595860000089
shor_15_4_indep_qiskit_18.qasm,double,GPU,4,0.9999999999957008,105.72358689999965
shor_15_4_indep_qiskit_18.qasm,single,GPU,1,0.003906251889977048,52.62416060000396
shor_15_4_indep_qiskit_18.qasm,single,GPU,2,0.49999939283177164,62.97335779999412
shor_15_4_indep_qiskit_18.qasm,single,GPU,4,1.0000002384214977,75.43384099999821
twolocalrandom_indep_qiskit_30.qasm,double,CPU,1,1.0333952021558436e-17,0.5565279000002192
twolocalrandom_indep_qiskit_30.qasm,double,CPU,2,2.84661461484575e-19,0.7384529999999359
twolocalrandom_indep_qiskit_30.qasm,double,CPU,4,0.000183334236410362,1.0998586999994586
twolocalrandom_indep_qiskit_30.qasm,double,CPU,8,0.00040394104308264254,4.200350199998866
twolocalrandom_indep_qiskit_30.qasm,double,CPU,16,0.06285201311023446,21.517381800000294
twolocalrandom_indep_qiskit_30.qasm,double,CPU,32,0.10313737455657032,144.05152629999975
twolocalrandom_indep_qiskit_30.qasm,double,CPU,64,0.9425995752352244,700.7634851000003
twolocalrandom_indep_qiskit_30.qasm,double,CPU,128,,611.4582425000008
twolocalrandom_indep_qiskit_30.qasm,double,CPU,256,,611.4582425000008
twolocalrandom_indep_qiskit_30.qasm,double,CPU,512,,611.4582425000008
twolocalrandom_indep_qiskit_30.qasm,single,CPU,1,1.0333465632301676e-17,0.316557100000864
twolocalrandom_indep_qiskit_30.qasm,single,CPU,2,2.8588376707238436e-12,0.7128392000013264
twolocalrandom_indep_qiskit_30.qasm,single,CPU,4,0.0001027401738886713,0.9222829999998794
twolocalrandom_indep_qiskit_30.qasm,single,CPU,8,0.0017705972355495092,2.973752500000046
twolocalrandom_indep_qiskit_30.qasm,single,CPU,16,0.06255164318720663,16.450161300001128
twolocalrandom_indep_qiskit_30.qasm,single,CPU,32,0.10214474163981269,131.14689720000024
twolocalrandom_indep_qiskit_30.qasm,single,CPU,64,0.919732886325221,830.6048191999998
twolocalrandom_indep_qiskit_30.qasm,single,CPU,128,,681.1316759000001
twolocalrandom_indep_qiskit_30.qasm,single,CPU,256,,681.1316759000001
twolocalrandom_indep_qiskit_30.qasm,single,CPU,512,,681.1316759000001
twolocalrandom_indep_qiskit_30.qasm,double,GPU,1,1.0333952021559454e-17,27.617946300000767
twolocalrandom_indep_qiskit_30.qasm,double,GPU,2,3.315908094588801e-12,33.26398080000217
twolocalrandom_indep_qiskit_30.qasm,double,GPU,4,0.00014083987960392805,62.893193100000644
twolocalrandom_indep_qiskit_30.qasm,double,GPU,8,0.00040332754423002176,83.6746604
twolocalrandom_indep_qiskit_30.qasm,double,GPU,16,0.0638571496752268,131.08760709999842
twolocalrandom_indep_qiskit_30.qasm,double,GPU,32,0.10263006443583672,269.13307519999944
twolocalrandom_indep_qiskit_30.qasm,double,GPU,64,0.9426125296441894,499.48855780000304
twolocalrandom_indep_qiskit_30.qasm,double,GPU,128,,878.3766337000015
twolocalrandom_indep_qiskit_30.qasm,double,GPU,256,0.9999765129577427,853.1498877000013
twolocalrandom_indep_qiskit_30.qasm,single,GPU,1,1.0336839222952201e-17,23.071371199999703
twolocalrandom_indep_qiskit_30.qasm,single,GPU,2,2.080917706386588e-12,30.43246680000084
twolocalrandom_indep_qiskit_30.qasm,single,GPU,4,0.0001392267793074442,40.959715299999516
twolocalrandom_indep_qiskit_30.qasm,single,GPU,8,0.00047194943876841325,57.41686750000008
twolocalrandom_indep_qiskit_30.qasm,single,GPU,16,0.06551145713220663,82.65802319999784
twolocalrandom_indep_qiskit_30.qasm,single,GPU,32,0.10295431334704208,181.50670349999928
twolocalrandom_indep_qiskit_30.qasm,single,GPU,64,0.9427313006449403,243.68310030000066
twolocalrandom_indep_qiskit_30.qasm,single,GPU,128,0.9860431418753848,331.27653009999995
twolocalrandom_indep_qiskit_30.qasm,single,GPU,256,0.9999355088141648,219.7310942999975
vqe_indep_qiskit_16.qasm,double,CPU,1,0.073964291111358,0.24050160000001597
vqe_indep_qiskit_16.qasm,double,CPU,2,0.9999649676892838,0.2514129999999568
vqe_indep_qiskit_16.qasm,single,CPU,1,0.07396416531577543,0.5590148999999656
vqe_indep_qiskit_16.qasm,single,CPU,2,0.9999641183257246,0.22603410000010626
vqe_indep_qiskit_16.qasm,double,GPU,1,0.07396429111135712,0.23056999999994332
vqe_indep_qiskit_16.qasm,double,GPU,2,0.9999649662746857,0.3777669999999489
vqe_indep_qiskit_16.qasm,single,GPU,1,0.0739646840459649,0.22932909999985895
vqe_indep_qiskit_16.qasm,single,GPU,2,0.9999650719831585,0.31315969999991466
wstate_indep_qiskit_130.qasm,double,CPU,1,0.007692307692307896,0.36371820000022126
wstate_indep_qiskit_130.qasm,double,CPU,2,0.9999999999999978,1.2934676000004401
wstate_indep_qiskit_130.qasm,single,CPU,1,0.0076922940120721095,0.3698164999987057
wstate_indep_qiskit_130.qasm,single,CPU,2,0.9999837876023321,0.9958306999997149
wstate_indep_qiskit_130.qasm,double,GPU,1,0.007692307692307947,1.2169529999991937
wstate_indep_qiskit_130.qasm,double,GPU,2,1.000000000000072,1.4948955999989266
wstate_indep_qiskit_130.qasm,single,GPU,1,0.0076922940120721095,0.9776784999994561
wstate_indep_qiskit_130.qasm,single,GPU,2,0.9999963045154381,1.2733167000005778
wstate_indep_qiskit_15.qasm,double,CPU,1,0.06666666666666665,0.24886289999994915
wstate_indep_qiskit_15.qasm,double,CPU,2,0.9999999999999976,0.23836779999987812
wstate_indep_qiskit_15.qasm,single,CPU,1,0.06666666530471677,0.23240260000011403
wstate_indep_qiskit_15.qasm,single,CPU,2,0.9999983310706426,0.2374397000000954
wstate_indep_qiskit_15.qasm,double,GPU,1,0.06666666666666674,0.22106399999984205
wstate_indep_qiskit_15.qasm,double,GPU,2,1.0000000000000036,0.28698260000010123
wstate_indep_qiskit_15.qasm,single,GPU,1,0.0666666499148647,0.24229239999999663
wstate_indep_qiskit_15.qasm,single,GPU,2,0.9999995231628986,0.2509499999998752
wstate_indep_qiskit_30.qasm,double,CPU,1,0.03333333333333344,0.22529329999997572
wstate_indep_qiskit_30.qasm,double,CPU,2,1.0000000000000093,0.3618981999998141
wstate_indep_qiskit_30.qasm,single,CPU,1,0.03333332132412181,0.23887119999972128
wstate_indep_qiskit_30.qasm,single,CPU,2,0.9999979734431044,0.3255861000002369
wstate_indep_qiskit_30.qasm,double,GPU,1,0.03333333333333341,0.32728110000016386
wstate_indep_qiskit_30.qasm,double,GPU,2,1.0000000000000204,0.45927409999967495
wstate_indep_qiskit_30.qasm,single,GPU,1,0.03333331044185517,0.2855701000003137
wstate_indep_qiskit_30.qasm,single,GPU,2,0.9999984502798362,0.35999320000019
